City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,alugan,12.22,125.48,81.34,82,100,6.38,PH,1595098321
316,maragogi,-9.01,-35.22,76.82,77,10,12.35,BR,1595098321
317,porto santo,33.07,-16.34,73.4,73,20,10.29,PT,1595098321
318,padang,-0.95,100.35,75.2,100,40,2.24,ID,1595098321
319,skagen,57.72,10.58,66.0,83,100,13.0,DK,1595098321
320,khed,17.72,73.38,77.88,89,100,2.95,IN,1595098322
321,arkhara,49.42,130.08,69.26,87,76,4.05,RU,1595098322
322,esmeraldas,-19.76,-44.31,69.8,60,75,12.75,BR,1595098322
323,namibe,-15.2,12.15,67.3,81,0,3.94,AO,1595098322
324,kangaba,11.93,-8.42,76.51,87,93,5.21,ML,1595098323
325,pinega,64.7,43.39,54.66,71,85,3.71,RU,1595098323
326,ayr,55.46,-4.63,59.0,67,20,16.11,GB,1595098323
327,mincivan,39.03,46.72,82.56,40,34,0.94,AZ,1595098323
328,berkakit,56.58,124.77,58.77,96,100,1.86,RU,1595098323
329,herveo,5.08,-75.17,82.4,61,40,6.93,CO,1595098324
330,lazaro cardenas,17.96,-102.2,88.54,54,0,9.22,MX,1595098324
331,ilulissat,69.22,-51.1,53.6,40,20,5.82,GL,1595098324
332,college,64.86,-147.8,59.0,82,75,4.7,US,1595098324
333,adrar,20.5,-10.07,102.25,15,8,12.5,MR,1595098324
334,mahon,39.89,4.27,77.0,69,20,6.93,ES,1595098324
335,teknaf,20.86,92.31,80.46,87,100,7.43,BD,1595098325
336,laibin,23.7,109.27,78.19,88,100,7.05,CN,1595098325
337,poyarkovo,49.6,128.68,69.73,76,2,5.57,RU,1595098325
338,oranjemund,-28.55,16.43,63.03,33,0,7.05,NA,1595098325
339,lata,40.16,-8.33,90.0,30,0,8.01,PT,1595098325
340,siddharthanagar,27.5,83.45,84.65,74,100,5.19,NP,1595098325
341,boguchany,58.38,97.45,51.44,66,100,3.74,RU,1595098325
342,vanavara,60.34,102.28,43.83,96,29,4.97,RU,1595098326
343,okakarara,-20.58,17.43,52.29,41,0,8.84,NA,1595098326
344,tete,-16.16,33.59,69.8,68,40,4.7,MZ,1595098326
345,casablanca,33.59,-7.62,80.6,73,40,13.87,MA,1595098326
346,lodja,-3.48,23.43,74.73,44,96,0.34,CD,1595098326
347,presque isle,46.68,-68.02,80.6,65,90,3.36,US,1595098326
348,waddan,29.16,16.14,88.18,36,0,22.17,LY,1595098327
349,lompoc,34.64,-120.46,68.0,72,3,5.82,US,1595098049
350,iskateley,67.68,53.15,47.71,92,79,9.44,RU,1595098327
351,shahr-e babak,30.12,55.12,78.51,17,14,17.18,IR,1595098327
352,maceio,-9.67,-35.74,80.6,65,40,16.11,BR,1595098327
353,beyneu,45.32,55.2,92.88,14,47,7.92,KZ,1595098328
354,zeya,53.75,127.27,67.78,94,99,5.68,RU,1595098328
